|q|a|d
466|李高效生产中病害的发生规律是什么？|病菌以菌丝体、根状菌索在土壤中越冬。在适宜的土壤温度（11.5°C至25°C）和湿度条件下，根状菌索长出营养菌丝侵害新根，逐渐延及粗根。|76
467|李高效生产中如何进行农业防治？|雨后及时排水，合理使用氮、磷、钾肥，增施有机肥；合理整枝修剪，避免过度修剪导致树势衰弱。|76
468|李高效生产中常见的病害特征有哪些？|地上部分比健株衰弱，后期出现叶片变黄、枯萎、变小、枯枝、枯干等特征；根部表面缠有灰白色蛛网状菌丝层，皮层变褐、腐烂且新根稀少；病株树皮变黑，容易脱落，易从土中拔出，根颈部出现黑色胶状溢出物，易折断。|76
469|桃根朽病如何传播和扩展？|病菌从根颈部的伤口处开始侵染，并沿主干和主根上下扩展，皮层内、皮层与木质部之间形成菌丝层，分解寄主皮层和木质部组织，造成寄主树皮环割而致植株枯死。|77
470|桃根朽病会导致哪些症状？|树体皮层溃烂及木质部腐朽，树势迅速衰退、死亡，发芽展叶迟缓，全株叶片卷曲，变小而薄，黄化至脱落等。|77
471|桃根朽病的病原体是什么？|蜜环菌[Armillariamellea(VahlexFr.)Kum-mer]、假蜜环菌[Armillariellatabescens(Scop.exF|77
472|桃根朽病在哪个季节会生出褐色蘑菇？|夏末至早秋。|77
473|桃根朽病主要危害哪些植物？|李、梨、山楂、枣、杨、榆、柳、刺槐、葡萄、板栗、苹果等多种重要果树和林木。|77
474|李高效生产及绿色防控技术中土壤带菌是如何影响发病的？|土壤带菌是影响发病的关键因素。土壤带菌时，无论新栽幼树还是老树都会迅速死亡，即使在排灌良好的土壤也是如此。|78
475|李根瘤病的病原是什么？|李根瘤病的病原为根瘤菌科根癌土壤杆菌属的根癌土壤杆菌[Agrobacterium tumefaciens (Smithet Townsend) Conn]。|78
476|李高效生产及绿色防控技术中的病害发生规律是什么？|病菌以菌丝体及菌索在有病组织的土壤中可长期营腐生生活，其中菌索可在死亡病树桩内存活30年之久，主要通过病根与健根的接触、菌索的扩展进行传播。病菌接触到新的寄主后，先建立腐生关系，当条件适宜时，直接或从伤口侵人根内，开始新的侵染。病菌子实体成熟时，可产生大量担孢子进行传播。病菌在8~28℃均可发育，最适温度为25℃，不需光。本病一般在春、秋季发病较多，病害的发生盛期一般为3—4月和8—9月。|78
477|李高效生产及绿色防控技术中，防治方法有哪些？|防治方法包括：(1)铲除侵染源，切断传播途径。及时发现刨掉病树，并掘除病残根和可能的病残体，全部收集、烧毁，并对发病处进行土壤消毒，可用1%~2%硫酸铜溶液浇灌病穴土壤或撒施生石灰消毒。(2)药剂灌根。病害发生量大的果园，则建议改种其他对该病不敏感的作物。也可采用药剂灌根治疗，但代价很高。可于每年早春和夏末分别用药剂灌根1次。灌根时，可以树干为中心，四周开挖3~5条宽30~50厘米、深40~60厘米、远至树冠外围的沟。药剂可选用50%代森铵水剂500倍液、70%甲基硫菌灵可湿性粉剂1000倍液，每株灌药液量视树冠大小而定，可灌50~75千克。|78
478|李树根瘤病的发生规律是什么？|植株受害后，在根部形成肿瘤，导致树体生长缓慢，发育受阻，树势衰弱，甚至死亡。地上部表现为植株生长缓慢，叶片小而窄、卷缩，叶色发黄，花芽不饱满。根部表现为根系发育不良，产生新根少，主根及侧根都不同程度地产生球形或扁球形、表面粗糙不平的癌瘤，并且其上有坏死斑。|79
479|李树根瘤病主要危害哪些部位？|发病部位主要在根颈处、嫁接口附近，侧根和毛细根也能受害。|79
480|李树根瘤病的根部症状是什么？|根部症状包括根系发育不良，产生新根少，主根及侧根都不同程度地产生球形或扁球形、表面粗糙不平的癌瘤，并且其上有坏死斑。|79
481|如何识别李树根瘤病的地上部症状？|地上部症状包括植株生长缓慢，叶片小而窄、卷缩，叶色发黄，花芽不饱满。|79
482|什么是李树的根瘤病？|根瘤病又称冠瘿病、根癌病，是一种世界性病害，主要危害幼树，染病后树体生长衰弱，枝条枯萎，甚至整株枯死。也可危害大树，削弱树势，常导致李树死亡。|79
483|为什么根癌病在温带比热带更常见？|土壤温度超过30°时不形成癌瘤|80
484|病菌在什么样的土壤pH范围内能致病？|6.2~8.0|80
485|根癌土壤杆菌的致死温度是多少摄氏度？|51°|80
486|病害发生与哪些环境因素密切相关？|土壤酸碱度、温度、湿度|80
487|根癌土壤杆菌最适生长在什么样的土壤pH条件下？|7.3|80
488|根癌土壤杆菌的最适生长温度范围是多少摄氏度？|25∼30°|80
489|防治根癌病的方法有哪些？|加强检疫、培育无病苗、苗木消毒|80
490|根癌病菌的传播距离有哪些因素影响？|传播距离随方式而定|80
491|病菌如何利用土壤存活较长时间？|在病株未被清理的部分以及癌瘤组织皮层中借助土壤的保护抵抗严寒|80
492|哪种土壤更有利于根癌土壤杆菌致病？|中性至碱性土壤|80
493|病菌在癌瘤破裂脱落后的存活时间是多少？|超过1年|80
494|在什么条件下土壤湿度最适合病菌的侵入和瘤的形成？|22°左右的土壤温度和60%以上的土壤相对湿度|80
495|肿瘤形成通常需要多长时间？|2~4周|80
496|李细菌性穿孔病的主要危害是什么|主要危害叶片，也侵染果实和新梢|81
497|李树的病瘤如何消除|用刀切除病瘤，用石灰乳或波尔多液涂抹伤口，或用甲冰碘液和二硝基邻甲酚钠与木醇混合涂瘤|81
498|李细菌性穿孔病的发病初期症状是什么|发病初期在叶脉两侧产生黄白色至白色的水渍状圆形小斑点|81
499|李细菌性穿孔病的后期症状有哪些|后期病斑脱落，部分与叶片相连，形成穿孔，穿孔边缘破碎不整齐；果实受害形成稍凹陷、深褐色不规则病斑，病斑边缘水渍状；枝条受害产生春季溃疡和夏季溃疡两种不同病斑|81
500|如何减少李树的根瘤病发生|使用K84进行根部处理|81
501|李细菌性穿孔病的病原是什么|樱类黑斑病菌和丁香假单胞菌丁香致病变种|81
502|李属坏死环斑病毒病的英文名称是什么？|Prunus necrotic ringspot virus, PNRSV|82
503|PNRSV是一种什么样的病毒？|PNRSV是一种能够侵染危害多种核果类果树的病毒，被列为中华人民共和国进境植物检疫危险性病、虫、杂草名录中的二类危险性有害生物。|83
504|PNRSV的核酸分子是什么？|PNRSV的核酸分子是线形正义单链核糖核苷酸(ssRNA)。|83
505|PNRSV主要通过什么途径传播？|PNRSV主要通过带毒的繁殖材料(如种子和花粉)进行传播，无性繁殖材料的调运是PNRSV的一个重要传播途径。|83
506|PNRSV的致死温度和体外存活期是什么？|PNRSV的致死温度(TIP)为55~62℃，体外存活期(LIV)为9~18小时。|83
507|PNRSV在李属植物上的症状有哪些？|PNRSV在李属植物上的症状差异较大，可能表现为新叶上出现坏死环斑或黄条斑，坏死斑中心脱落，出现孔洞，重者只剩下花叶状叶架；有的株系会产生橡叶纹、叶背面耳突、黄花叶症。感病植株花期推迟，花梗变短，花瓣出现条斑，显症病树翌年病状一般不再在同一枝条上发生，有的也带毒显症。症状程度从叶的黄化和变形到生长受阻，枝条和树干流胶和顶梢枯死。|83
508|PNRSV在哪些寄主或品种上的传播效率差异很大？|PNRSV在樱桃、酸樱桃、马哈里酸樱桃、桃和樱桃李等寄主或品种上的传播效率差异很大。|83
509|在我国哪些地区检测到李矮缩病毒(PDV)?|北京、陕西等地区|84
510|李矮缩病毒(PDV)可以造成哪些危害症状？|核果类果树叶片褪绿、扭曲、坏死，植株矮缩、流胶等。具体可表现新梢节间变短，叶片密集，叶片变小，叶色变淡，叶缘上卷；花梗变短，花朵密集；有时果实畸形，产量降低。危害症状以春、夏两季节最明显。|84
511|李矮缩病毒(PDV)主要分布于哪些地区？|欧洲、南美洲、北美洲、日本、澳大利亚和新西兰等温带李属果树栽培地区|84
512|李矮缩病毒(PDV)属于哪个科和属的病毒？|雀麦花叶病毒科(Bromoviridae)、等轴不稳环斑病毒属(Ilarvirus)|84
513|李矮缩病毒(PDV)首次是在哪个国家被报道的？|美国|84
514|李痘病毒是什么时候在保加利亚首次被发现的|1915年|85
515|李痘病毒可以在哪些植物组织中造成症状|叶片、花瓣、枝条、树皮、果实及果核|85
516|李痘病毒属于哪个科和病毒组|马铃薯Y病毒科马铃薯Y病毒组|85
517|李痘病毒被哪个国家列为检疫性有害生物|中国|85
518|李痘病毒的主要传播途径是什么|汁液传播，通过蚜虫进行非持久性传毒|86
519|李痘病毒能否通过种子和花粉传播|能，例如M株系可以经种子传播|86
520|PPV发生的适宜气候条件是什么|温带至中温带气候，最冷月平均温度0~18℃，最热月平均温度10℃以上|86
521|干旱季节对PPV发生的影响是什么|无明显不利影响|86
522|防治李痘病毒的方法有哪些|加强检疫和监测，培育无毒苗木，选用无毒接穗，及时检测和移除发病植株|86
523|根结线虫病的危害症状有哪些？|根结线虫病危害李根部，形成瘤状物即根瘤，根瘤开始为白色至黄白色，较小和松软，后期扩大后呈黄褐色，表面粗糙。根变短，侧根和须根减少，影响植株发育及营养吸收，严重时表现叶片黄化，整株树的新陈代谢能力减弱，早期落叶，导致果树产量下降，并常伴随冠瘿病的出现。|87
524|什么是根结线虫病？|根结线虫病是由侧尾腺口纲垫刃目根结线虫属的一些种引起的病害。|87
525|根结线虫的寄生方式是什么|固着式内寄生|88
526|根结线虫的卵是在什么地方产的|根表面胶状的卵块中|88
527|根结线虫的2龄幼虫是如何获得侵染能力的|以宿主根系的分泌物、CO₂及热信号作为引导|88
528|在什么温度下，根结线虫会缩短活动时间或失去侵染能力|高于40℃或低于5℃|88
529|南方根结线虫、花生根结线虫和爪哇根结线虫的最适生存温度是多少|25~30℃|88
530|土壤干燥时，根结线虫的卵和幼虫会发生什么|死亡|88
531|当土壤中有足够的水分并在土壤颗粒上形成水膜时，根结线虫的卵会发生什么|迅速孵化|88
532|最适于根结线虫发育和卵孵化的温度范围是多少|20~30℃|88
533|根结线虫的传播途径有哪些|种苗、肥料、农具、水流传播及线虫本身移动|88
534|影响根结线虫生长和繁殖的最重要因素是什么|土壤温度、湿度|88
535|请问李病虫害防治中提到的物理防治方法有哪些？|高温、水淹和冰冻。|89
536|请问在土壤消毒方面，可以采用哪些杀线虫剂？|棉隆微粒剂、噻唑膦颗粒剂。|89
537|请问生物防治中，如何使用淡紫拟青霉和阿维菌素乳油？|淡紫拟青霉穴施或沟施，阿维菌素乳油喷施或灌根。|89
538|请问哪种植物可以作为捕捉植物来减轻根结线虫的危害？|白菜、菠菜、芫荽。|89
539|山楂叶螨的危害特点是什么？|山楂叶螨1年发生6~10代，以受精雌成螨在李枝干的翘皮、裂缝，根颈周围土缝，落叶及杂草中越冬。在李萌芽期，越冬雌成螨开始出蛰，爬到花芽上取食危害，有时1个花芽上有多头成螨危害。落花后，成螨在叶片背面危害，此代发生期比较整齐。成螨在叶片上产卵，完成后继世代，世代重叠。6—7月的高温干旱季节适宜叶螨发生，为全年危害高峰期。8月以后，湿度增大，加上成螨天敌的影响，成螨数量有所下降，危害随之减轻。8月下旬至9月上旬，逐渐转为越冬型雌成螨。10月，害螨几乎全部进入越冬场所越冬。李叶片较薄，叶螨危害后很容易造成落叶。成虫和若虫性情不活泼，早春多集中在李的内膛枝上，后期逐渐向树冠外围扩散，成群聚集在叶背危害，并吐丝拉网。害螨可孤雌生殖，虫卵多产在叶背主脉两侧及丝网上。天敌有食螨瓢虫类、花蝽类、蓟马类、草蛉和捕食螨类等几十种。|90
540|山楂叶螨的防治方法有哪些？|文中并未直接提及山楂叶螨的具体防治方法，但通常可以采用以下措施进行防治：1. 清除越冬场所，减少雌成螨的越冬基数；2. 加强栽培管理，提高树木抗逆性，减少叶螨危害；3. 生物防治，利用天敌如食螨瓢虫类、花蝽类、蓟马类、草蛉和捕食螨类等进行自然控制；4. 化学防治，根据害虫发生情况和危害程度，科学合理地使用农药。|90
541|山楂叶螨的形态特征有哪些？|山楂叶螨的形态特征包括卵圆球形，春季产卵呈橙黄色，夏季产卵呈黄白色；幼螨初孵时为圆形，黄白色，取食后呈浅绿色，有3对足；若螨有足4对，前期背部出现刚毛，两侧出现明显的墨绿色斑纹，后期若螨体型变大，形似成螨；雌成螨椭圆形，长约0.5毫米，宽约0.3毫米，深红色，体背稍隆起，后部有横向的表皮纹，刚毛较长，基部无瘤状突起，足4对，淡黄色；雄成螨椭圆形，长约0.4毫米，宽约0.3毫米，末端尖削，初期浅黄绿色，后期浅绿色，体背两侧各有1个大黑斑。|90
542|山楂叶螨对李树造成的危害有哪些？|山楂叶螨以幼螨、若螨和成螨危害叶片，常群集在叶片背面的叶脉两侧拉丝结网，并在网下刺吸叶片的汁液。受害叶片出现失绿小斑点，渐扩大连片，变成黄褐色或红褐色，严重时叶片枯焦并早期脱落。|91
543|有哪些药剂可以用于山楂叶螨的化学防治？|可选用43%联苯肼酯悬浮剂1800~2400倍液,20%唑螨酯悬浮剂7~10毫升/亩,30%乙螨唑悬浮剂6000〜8000倍液、1.8%阿维乳油1000~2500倍液,30%乙唑螨腈悬浮剂3000〜6000倍液、30%腈吡螨酯悬浮剂2000〜3000倍液、30%螺虫·唑螨酯悬浮剂4000〜5000倍液、36%联肼·螺虫酯悬浮剂2500〜3000倍液、40%丁醚·哒螨灵悬浮剂1500~2000倍液等药剂进行喷雾。|91
544|山楂叶螨的化学防治关键时期是什么时候？|李萌芽期和第一代若螨发生期。|91
545|如何进行山楂叶螨的生物防治？|保护自然天敌种群，尽量少使用广谱性的农药，当天敌种群与山楂叶螨的比例在1：30时不用药，采取涂干法进行防治。在有条件的地方，可释放捕食螨。|91
546|二斑叶螨的雄成螨体形特点是什么|体末略尖，呈菱形|92
547|二斑叶螨的雌成螨体色有哪些类型|非滞育型体绿色或黄绿色，背面两侧有暗色斑，滞育型体背两侧的暗色斑逐步消失，体色为橙黄或橘红色|92
548|二斑叶螨的若螨有几个足|4对|92
549|二斑叶螨的雌成螨在什么地方越冬|树干翘皮、缝隙、杂草、落叶中越冬|92
550|二斑叶螨一年发生多少代|10余代|92
551|二斑叶螨危害哪些作物|棉花、苹果、桃、杏、柑橘、木薯和花卉等作物|92
552|李树的病虫害有哪些防治方法？|防治方法包括清理果园、生物防治和化学防治。|93
553|清理果园的目的是什么？|目的是清除李园杂草，消灭杂草上的害螨。|93
554|化学防治二斑叶螨时可选用哪些药剂？|可选用20%唑螨酯悬浮剂、30%乙螨唑悬浮剂等。|93
555|八桃蚜的形态特征是什么？|桃蚜无翅胎生雌蚜体长约2.2毫米、宽0.94毫米，卵圆形，体色为淡黄绿色或乳白色。|93
556|生物防治二斑叶螨的方法有哪些？|生物防治包括以虫治螨、以螨治螨和以菌治螨。|93
557|二斑叶螨对李树造成什么样的危害？|叶片出现失绿斑点，严重时叶片枯黄并提前脱落。|93
558|桃蚜对哪些颜色有趋性？|桃蚜天敌有瓢虫、食蚜蝇、草蛉等。桃蚜对黄色、橙色有强烈的趋性，而对银灰色有负趋性。|94
559|桃蚜的防治方法有哪些？|桃蚜的防治方法包括物理防治和生物防治。物理防治可用黄板诱杀有翅蚜，或用银灰膜驱蚜。生物防治则是保护利用天敌，如李园的七星瓢虫、草蛉、食蚜蝇、蚜茧蜂等自然天敌。此外，可实行人工生草，改善李园生态，为天敌提供活动和繁殖场所，并避免在天敌活动高峰期喷洒广谱性农药。|94
560|桃蚜在哪些地区发生？|桃蚜在朝鲜、日本、印度尼西亚、印度以及北美洲、欧洲、非洲等地均有发生，是世界上分布最广的蚜虫之一。|94
561|桃蚜在哪些植物上取食？|桃蚜寄主范围很广，可以在50多个科400多种植物上取食，可传播115种植物病毒(占整个蚜虫传播植物病毒的67.7%)，国内的寄主植物有170种以上，主要有油菜等十字花科植物，桃、李等蔷薇科果树，烟草、马铃薯等茄科作物。|94
562|桑盾蚧在李树上是如何越冬的？|桑盾蚧以受精的雌成虫在多年生枝条上群集越冬。|95
563|桑盾蚧的雌虫和雄虫的形态特征有什么不同？|桑盾蚧的雌虫无翅，体长0.9~1.2毫米，淡黄至橙黄色，介壳灰白至黄褐色；雄虫有翅，体长0.6~0.7毫米，翅展宽1.8毫米左右，灰白色，触角念珠状，介壳细长，白色，背面有3条纵脊。|95
564|桑盾蚧一年可以发生多少代？|桑盾蚧一年可以发生3~5代。|95
565|防治桑盾蚧可以选择哪些药剂？|可以选择3%啶虫脒乳油2500~3000倍液、10%吡虫啉可湿性粉剂2000倍液等。|95
566|桑盾蚧在我国哪些地区发生？|桑盾蚧在我国的地域分布很广，从海南、台湾至辽宁，华南、华东、华中、西南多省均有发生。|96
567|防治桑盾蚧的方法有哪些？|防治方法包括：(1)严格检疫。加强苗木、接穗检疫，防止虫害蔓延。(2)清理果园。冬、春季，采用硬毛刷或钢丝刷，清除并杀死枝干上的虫体，消灭越冬雌虫。(3)生物防治。利用桑盾蚧的天敌，如红点唇瓢虫等，进行生物控制。(4)化学防治。在李发芽前，使用石硫合剂涂刷枝条或喷雾，若虫分散转移形成介壳之前是化学防治的最佳时期，可使用25%噻嗪酮可湿性粉剂1000~2000倍液、45%松脂酸钠可溶性粉剂100~160倍液、20%的甲氰菊酯乳油1500倍液+10%吡虫啉可湿性粉剂4000倍液进行喷雾。|96
568|桑盾蚧对果树有什么影响？|桑盾蚧以若虫和雌成虫刺吸枝干汁液，导致枝条被虫体覆盖呈灰白色，被害枝条生长不良，树势衰弱，严重者死亡。|96
569|朝鲜球坚蚧的形态特征是什么？|朝鲜球坚蚧(koreanlecanium),又称朝鲜球坚蜡蚧、桃球坚蚧、杏球坚蚧、朝鲜毛球蚧，属同翅目(Ho-moptera)蚧科(Coccidae)。雌成虫无翅,介壳半球形,长约4.5毫米、宽约3.8毫米、高约3.5毫米，前、侧面上部凹入，后面近垂直。初期介壳软，呈黄褐色；后期硬化，呈红褐至黑褐色，表面有明显皱纹和极薄的蜡粉，背中线两侧各具1纵列不规则的小凹点，壳边平削，与枝接触处有白蜡粉。雄成虫有1对透明翅，体长1.5~2.0毫米、宽约5.5毫米，头胸赤褐色，腹部淡黄褐色，末端有1对尾毛和1根性刺，触角10节；前翅发达，白色半透明，后翅特化为平衡棒。卵长约0.3毫米、宽约0.2毫米，椭圆形，附有白蜡粉，初白色，后渐变粉红色，孵化时现红色眼点。若虫长椭圆形，初孵时长约0.5毫米，扁平，淡褐色至粉红色，被白粉；触角6节，丝状，眼红色；足发达，腹部背面可见10节，腹面13节，腹末有2个小突起，各生1根长毛，固着后体侧分泌出白蜡丝覆盖于体背，不易见到虫体。越冬后雌雄分化，雌体卵圆形，背面隆起，呈半球形，淡黄褐色，有数条紫黑横纹；雄体瘦小，椭圆形，背稍隆起。仅雄有蛹，长约1.8毫米，赤褐色，腹部末端有黄褐色刺突。茧椭圆形，灰白色，半透明，扁平，有2条纵沟及数条横脊，末端有1横缝。|97
570|朝鲜球坚蚧的发生规律及危害是什么？|朝鲜球坚蚧1年发生1代，以2龄若虫在枝条裂缝和芽越冬，外覆蜡被。春季从蜡被脱出另找固定点，开始雌雄分化和发育。雄若虫4月分泌蜡茧，中旬开始羽化交配，交配后雌虫迅速膨大，5月中旬产卵，每雌一般产卵千余粒，卵期7天左右。5月下旬至6月上为孵化盛期，初孵若虫分散至枝、叶背危害，落叶前转回枝上，以叶痕和缝隙处居多，此时若虫发育极慢，越冬前蜕1次皮。|97
571|针对朝鲜球坚蚧，可选用哪些药剂进行防治？|可选用40%螺虫·毒死蜱悬浮剂1500~2000倍液、50%氯氟·毒死蜱乳油5000~6000倍液、40%啶虫·毒死蜱乳油750~1000倍液等进行防治。|97
572|朝鲜球坚蚧的主要防治方法有哪些？|朝鲜球坚蚧的防治方法主要包括休眠期防治、生长期防治和保护和利用天敌。休眠期防治是在10月中下旬使用石硫合剂喷涂树体，春节前后使用柴油乳剂喷洒，3月下旬至4月上旬再次使用石硫合剂喷洒。生长期防治是从5月中下旬开始，每隔10~15天喷药1次，共喷3次，可选用的药剂有25%噻嗪酮可湿性粉剂、45%松脂酸钠可溶性粉剂、40%螺虫·毒死蜱悬浮剂、40%啶虫·毒死蜱微乳剂和50%氯氟·毒死蜱乳油等。保护和利用天敌则是保护黑缘红瓢虫、球蚧花翅跳小蜂等天敌，以控制朝鲜球坚蚧的发生。|98
573|朝鲜球坚蚧在哪个时期危害最盛？|朝鲜球坚蚧在4月下旬至5月上旬危害最盛。|98
574|朝鲜球坚蚧的寄主植物有哪些？|朝鲜球坚蚧的寄主植物包括苹果、桃、李、柿、板栗、核桃等果树以及柏、柳、榆、洋槐、泡桐等林木。|98
575|东方盔蚧的卵孵化时颜色变化是什么|初期乳白色，近孵化时黄褐至红褐色|99
576|东方盔蚧的雌成虫体长是多少毫米|4.1~6.6毫米|99
577|东方盔蚧的雌茧形状是什么|长椭圆形，半透明|99
578|东方盔蚧一年有几个代|2代|99
579|朝鲜球坚蚧在什么地方越冬|枝干上|99
580|如何减少东方盔蚧对果树的危害？|通过喷洒石硫合剂或使用噻嗪酮、松脂酸钠、螺虫·毒死蜱悬浮剂、啶虫·毒死蜱微乳剂、氯氟·毒死蜱乳油等化学药剂进行防治|100
581|东方盔蚧的天敌有哪些？|黑缘红瓢虫(Chilocorusrubidus)、红环瓢虫(Rodolialimbata)、大红瓢虫(Rodoliarufopilosa)等|100
582|防治东方盔蚧的方法有哪些？|(1)清理果园 (2)严格检疫 (3)保护和利用天敌 (4)化学防治|100
583|东方盔蚧对哪些果树和林木造成危害|桃、杏、梅、苹果、梨、葡萄、枣、核桃等果树，以及槐、杨、柳等林木|100
584|桃蛀螟的形态特征是什么？|成虫体长9~14毫米,翅展宽20~26毫米，身体纤细，橙黄色，复眼黑色，鳞毛细小，触角丝状，下唇须发达、上翘，背面及前后翅面上散布有黑色小斑点，前翅上有27~28个，后翅上有10余个，腹部背面各有3个黑斑，末端有一撮黑色毛丛。卵椭圆形，长约0.6毫米、宽约0.4毫米，表面粗糙，有细微圆点，初期乳白色，后变为黄色，孵化前为橘红|100
585|桃蛀螟成虫喜欢在哪里产卵|桃蛀螟成虫喜欢在树叶繁茂的树上产卵，尤以果实间或叶片处产卵较多|101
586|桃蛀螟的危害特点是什么|桃蛀螟以幼虫蛀果危害，幼虫在果内取食危害，排积粪便，被害果外面堆有红褐色虫粪，并有流胶，受害果易腐烂早落|101
587|桃蛀螟的分布区域是哪里|桃蛀螟分布北起黑龙江、内蒙古，南至台湾、海南、广东、广西、云南南缘|101
588|桃蛀螟在李树上发生几代|桃蛀螟1年发生4~5代|101
589|桃蛀螟幼虫期有多长时间|桃蛀螟幼虫期约为20天左右|101
590|请问李高效生产中可以使用哪些药剂进行化学防治？|药剂可选用5%氯氰菊酯乳油800〜1000倍液、20%氰戊菊酯乳油2000倍液、2.5%高效氯氟氰菊酯水乳剂2500~3000倍液、35%氯虫苯甲酰胺水分散粒剂15000〜30000倍液、2%甲氨基阿维菌素苯甲酸盐微乳剂1500〜2000倍液、6%阿维·氯苯酰乳油3000〜4000倍液。|102
591|请问梨小食心虫的老熟幼虫体长是多少？|老熟幼虫体长10~14毫米。|102
592|请问梨小食心虫的卵是什么形状的？|卵是扁圆形的，中央稍隆起，初产时乳白色，后淡黄色。|102
593|请问梨小食心虫的成虫体长和翅展分别是多少？|成虫体长6~7毫米，翅展13~14毫米。|102
594|请问李高效生产中如何利用黑光灯和糖醋液诱杀成虫？|利用成虫对黑光灯和糖醋液的趋性，在李园设置黑光灯或糖醋液诱捕器，诱杀成虫。|102
595|李树的病虫害有哪些|李树的病虫害包括幼虫危害新梢和果实，造成新梢折断和果实形成“豆沙馅”，有时果面有虫粪排出，被害果易脱落。|103
596|李树的防治方法有哪些|李树的防治方法包括清理果园，刮除树干和主枝上的翘皮，清扫李园中的枯枝落叶，及时剪除被害梢，拾取落地果实并集中深埋。此外，还可以利用糖醋液和性外激素诱杀成虫，以及喷洒氰戊菊酯和高效氯氟氰菊酯等化学药物进行防治。|103
597|桃小食心虫的危害特点是什么？|桃小食心虫的幼虫会在果实内蛀食，导致果实受害。幼虫在果内生活约20天后，于6月陆续老熟脱果，脱果幼虫全部结扁圆形茧。这会对果实产量和品质造成影响。|104
598|桃小食心虫的形态特征是什么？|桃小食心虫的雌蛾体长7~8毫米，翅展16~18毫米；雄蛾体长5~6毫米，翅展13~15毫米。全体灰白色或灰褐，触角丝状，雄虫下唇须短小，向上弯曲，雌虫下唇须较长，向前伸直。翅基部及中部有7簇蓝褐色的斜立鳞片，缘毛灰褐色，前翅近中部靠前级有1个蓝黑色近似三角形的大斑，后翅灰色，缘毛长。卵椭圆形，长约0.4毫米，初期橙黄色，后为深红褐色。幼虫初孵时黄白色，老熟时桃红色，体长13~16毫米，腹面色较淡，头和前胸背板褐色或暗褐色。腹足趾钩单序环状，腹部末端无臀栉。蛹长约7毫米，黄白至黄褐色，羽化前变为灰黑色。茧分夏茧和冬茧。夏茧纺锤形，长约13毫米，质地疏松；冬茧圆形，稍扁，长约6毫米，质地紧密。|104
599|防治桃小食心虫的生物方法包括哪些微生物和线虫|昆虫病原细菌如苏云金杆菌(Bt)，昆虫病原真菌如白僵菌、绿僵菌，昆虫病原线虫如泰山1号、线虫CZ-88、斯氏线虫|105
600|桃小食心虫主要危害哪些寄主植物|苹果、梨、桃、李、杏、山楂、枣|105
601|防治桃小食心虫的物理方法是什么|在树干周围1米范围内培土约20厘米厚|105
602|如何预测桃小食心虫成虫产卵盛期|使用桃蛀果蛾性激素诱捕器诱捕雄蛾，在雄成虫发生高峰后1~2天，是雌成虫产卵高峰期|105
603|化学防治桃小食心虫时，常用的药剂有哪些|50%辛硫磷乳剂、25%辛硫磷微胶囊剂、5%高效氯氟氰菊酯水乳剂、35%氯虫苯甲酰胺水分散粒剂、2%甲氨基阿维菌素苯甲酸盐微乳剂、6%甲维·茚虫威悬浮剂、30%阿维·灭幼脲悬浮剂、6%阿维·氯苯酰乳油|105
604|桃小食心虫幼虫在果实内如何危害果肉|在果皮下纵横蛀食果肉，随虫龄增大，有向果心蛀食的趋向|105
605|李小食心虫的形态特征是什么？|李小食心虫的成虫体长4.5~7.0毫米，翅展11~14毫米，体背面灰褐色，头部鳞片灰黄色，复眼褐色，前翅长方形，烟灰色，无明显斑纹，前缘有18组不很明显的白色钩状纹；后翅梯形，淡烟灰色。卵扁椭圆形，长0.60~0.72毫米，初期乳白色半透明，后淡黄色。老熟幼虫体长约12毫米，头宽约0.9毫米，玫瑰红或桃红色，腹面体色较浅，头部黄褐色。前胸背板浅黄或黄褐色；臀板淡黄褐色或玫瑰红色，上有20多个深褐色小斑点；腹足趾钩粗短，为不规则双序。蛹体长6~7毫米，初为淡黄褐色，后变褐色，其外被污白色茧，长约10毫米,纺锤形。|106
606|李小食心虫的发生规律及危害是什么？|李小食心虫在黑龙江、吉林、辽宁、河北等地区1年发生2代，少数3代，以老熟幼虫在树冠下的表土内、草根附近、土石块下做茧越冬，翌年4月下旬至5月上旬化蛹，越冬代成虫于5月中旬开始出现，5月中下旬为羽化盛期。成虫羽化后经1~2天交尾产卵，卵期1周左右，10天左右老熟脱果，顺枝条爬至主干，潜入粗皮缝隙内、草根、石块或钻入浅土层内做茧，经3~4天化蛹，蛹期1周左右。6月中下旬第一代成虫出现，第二代幼虫期约20天，第二代成虫于7月下旬至8月上旬出现，9月中旬采收前，老熟幼虫脱果越冬。成虫昼伏夜出，有趋光性和趋化性，白天栖息在树下的草丛或土块缝隙等隐蔽场所，黄昏时在树冠周围交尾产卵，卵散产在果面或叶片上。孵化后，幼虫先在果面上爬行，寻找到适当部位后即蛀入果内。幼虫危害时多直接蛀入果仁，被害果极易脱落。幼虫蛀食果实2~3天后，在被害果尚未脱落前，即行转果危害，当果实生长靠近时，幼虫更易迁果危害。随果落地的小幼虫，由于落地虫果很快干枯，多数不能完成幼虫期。第二代幼虫蛀果后，不能危害果仁，只蛀食果肉，果实被害后常表现出“流泪”现象，一般每头幼虫只危害1个果实，受害果不脱落。|106
607|李实蜂的雌虫体长是多少毫米？|4~6毫米|107
